   1, 98.48,            Epoch    1 - accuracy:  98.48 - best    1
   2, 96.20,            Epoch    2 - accuracy:  96.20 - best    1
   3, 97.72,            Epoch    3 - accuracy:  97.72 - best    1
   4, 99.24,            Epoch    4 - accuracy:  99.24 - best    4
   5, 96.20,            Epoch    5 - accuracy:  96.20 - best    4
   6, 100.00,            Epoch    6 - accuracy:  100.00 - best    6
   7, 98.10,            Epoch    7 - accuracy:  98.10 - best    6
   8, 99.62,            Epoch    8 - accuracy:  99.62 - best    6
   9, 98.86,            Epoch    9 - accuracy:  98.86 - best    6
  10, 99.24,            Epoch   10 - accuracy:  99.24 - best    6
  11, 99.62,            Epoch   11 - accuracy:  99.62 - best    6
  12, 99.62,            Epoch   12 - accuracy:  99.62 - best    6
  13, 99.24,            Epoch   13 - accuracy:  99.24 - best    6
  14, 99.62,            Epoch   14 - accuracy:  99.62 - best    6
  15, 99.24,            Epoch   15 - accuracy:  99.24 - best    6
  16, 99.62,            Epoch   16 - accuracy:  99.62 - best    6
  17, 98.86,            Epoch   17 - accuracy:  98.86 - best    6
  18, 99.62,            Epoch   18 - accuracy:  99.62 - best    6
  19, 98.86,            Epoch   19 - accuracy:  98.86 - best    6
  20, 98.10,            Epoch   20 - accuracy:  98.10 - best    6
  21, 99.24,            Epoch   21 - accuracy:  99.24 - best    6
  22, 98.86,            Epoch   22 - accuracy:  98.86 - best    6
  23, 99.24,            Epoch   23 - accuracy:  99.24 - best    6
  24, 99.62,            Epoch   24 - accuracy:  99.62 - best    6
  25, 99.62,            Epoch   25 - accuracy:  99.62 - best    6
